week,City,Neighborhood,Product_id,SKU_id,Channel_id,Sales_count
5/23/2016,Boston,Allston,1,1,1,98
5/16/2016,Boston,Allston,1,1,1,71
5/9/2016,Boston,Allston,1,1,1,55
5/2/2016,Boston,Allston,1,1,1,43
4/25/2016,Boston,Allston,1,1,1,0
4/18/2016,Boston,Allston,1,1,1,0
4/11/2016,Boston,Allston,1,1,1,0
4/4/2016,Boston,Allston,1,1,1,0
3/28/2016,Boston,Allston,1,1,1,0
3/21/2016,Boston,Allston,1,1,1,0
3/14/2016,Boston,Allston,1,1,1,0
3/7/2016,Boston,Allston,1,1,1,0
2/29/2016,Boston,Allston,1,1,1,0
2/22/2016,Boston,Allston,1,1,1,0
2/15/2016,Boston,Allston,1,1,1,0
2/8/2016,Boston,Allston,1,1,1,0
2/1/2016,Boston,Allston,1,1,1,0
1/25/2016,Boston,Allston,1,1,1,0
1/18/2016,Boston,Allston,1,1,1,0
1/11/2016,Boston,Allston,1,1,1,0
1/4/2016,Boston,Allston,1,1,1,0
12/28/2015,Boston,Allston,1,1,1,0
12/21/2015,Boston,Allston,1,1,1,0
12/14/2015,Boston,Allston,1,1,1,0
12/7/2015,Boston,Allston,1,1,1,0
11/30/2015,Boston,Allston,1,1,1,0
11/23/2015,Boston,Allston,1,1,1,0
11/16/2015,Boston,Allston,1,1,1,0
11/9/2015,Boston,Allston,1,1,1,0
11/2/2015,Boston,Allston,1,1,1,0
10/26/2015,Boston,Allston,1,1,1,0
10/19/2015,Boston,Allston,1,1,1,0
10/12/2015,Boston,Allston,1,1,1,0
10/5/2015,Boston,Allston,1,1,1,0
9/28/2015,Boston,Allston,1,1,1,0
9/21/2015,Boston,Allston,1,1,1,0
9/14/2015,Boston,Allston,1,1,1,38
9/7/2015,Boston,Allston,1,1,1,45
8/31/2015,Boston,Allston,1,1,1,102
8/24/2015,Boston,Allston,1,1,1,177
8/17/2015,Boston,Allston,1,1,1,197
8/10/2015,Boston,Allston,1,1,1,204
8/3/2015,Boston,Allston,1,1,1,206
7/27/2015,Boston,Allston,1,1,1,204
7/20/2015,Boston,Allston,1,1,1,180
7/13/2015,Boston,Allston,1,1,1,169
7/6/2015,Boston,Allston,1,1,1,177
6/29/2015,Boston,Allston,1,1,1,312
6/22/2015,Boston,Allston,1,1,1,170
6/15/2015,Boston,Allston,1,1,1,151
6/8/2015,Boston,Allston,1,1,1,137
6/1/2015,Boston,Allston,1,1,1,130
5/23/2016,Boston,Allston,1,1,2,351
5/16/2016,Boston,Allston,1,1,2,326
5/9/2016,Boston,Allston,1,1,2,325
5/2/2016,Boston,Allston,1,1,2,296
4/25/2016,Boston,Allston,1,1,2,284
4/18/2016,Boston,Allston,1,1,2,279
4/11/2016,Boston,Allston,1,1,2,272
4/4/2016,Boston,Allston,1,1,2,261
3/28/2016,Boston,Allston,1,1,2,264
3/21/2016,Boston,Allston,1,1,2,262
3/14/2016,Boston,Allston,1,1,2,261
3/7/2016,Boston,Allston,1,1,2,261
2/29/2016,Boston,Allston,1,1,2,247
2/22/2016,Boston,Allston,1,1,2,224
2/15/2016,Boston,Allston,1,1,2,210
2/8/2016,Boston,Allston,1,1,2,211
2/1/2016,Boston,Allston,1,1,2,217
1/25/2016,Boston,Allston,1,1,2,216
1/18/2016,Boston,Allston,1,1,2,216
1/11/2016,Boston,Allston,1,1,2,213
1/4/2016,Boston,Allston,1,1,2,216
12/28/2015,Boston,Allston,1,1,2,209
12/21/2015,Boston,Allston,1,1,2,217
12/14/2015,Boston,Allston,1,1,2,215
12/7/2015,Boston,Allston,1,1,2,215
11/30/2015,Boston,Allston,1,1,2,214
11/23/2015,Boston,Allston,1,1,2,210
11/16/2015,Boston,Allston,1,1,2,217
11/9/2015,Boston,Allston,1,1,2,215
11/2/2015,Boston,Allston,1,1,2,208
10/26/2015,Boston,Allston,1,1,2,220
10/19/2015,Boston,Allston,1,1,2,238
10/12/2015,Boston,Allston,1,1,2,242
10/5/2015,Boston,Allston,1,1,2,247
9/28/2015,Boston,Allston,1,1,2,261
9/21/2015,Boston,Allston,1,1,2,279
9/14/2015,Boston,Allston,1,1,2,288
9/7/2015,Boston,Allston,1,1,2,304
8/31/2015,Boston,Allston,1,1,2,312
8/24/2015,Boston,Allston,1,1,2,327
8/17/2015,Boston,Allston,1,1,2,345
8/10/2015,Boston,Allston,1,1,2,362
8/3/2015,Boston,Allston,1,1,2,392
7/27/2015,Boston,Allston,1,1,2,424
7/20/2015,Boston,Allston,1,1,2,419
7/13/2015,Boston,Allston,1,1,2,422
7/6/2015,Boston,Allston,1,1,2,426
6/29/2015,Boston,Allston,1,1,2,625
6/22/2015,Boston,Allston,1,1,2,387
6/15/2015,Boston,Allston,1,1,2,377
6/8/2015,Boston,Allston,1,1,2,369
6/1/2015,Boston,Allston,1,1,2,358
5/23/2016,Boston,Allston,1,2,1,256
5/16/2016,Boston,Allston,1,2,1,185
5/9/2016,Boston,Allston,1,2,1,130
5/2/2016,Boston,Allston,1,2,1,93
4/25/2016,Boston,Allston,1,2,1,0
4/18/2016,Boston,Allston,1,2,1,0
4/11/2016,Boston,Allston,1,2,1,0
4/4/2016,Boston,Allston,1,2,1,0
3/28/2016,Boston,Allston,1,2,1,0
3/21/2016,Boston,Allston,1,2,1,0
3/14/2016,Boston,Allston,1,2,1,0
3/7/2016,Boston,Allston,1,2,1,0
2/29/2016,Boston,Allston,1,2,1,0
2/22/2016,Boston,Allston,1,2,1,0
2/15/2016,Boston,Allston,1,2,1,0
2/8/2016,Boston,Allston,1,2,1,0
2/1/2016,Boston,Allston,1,2,1,0
1/25/2016,Boston,Allston,1,2,1,0
1/18/2016,Boston,Allston,1,2,1,0
1/11/2016,Boston,Allston,1,2,1,0
1/4/2016,Boston,Allston,1,2,1,0
12/28/2015,Boston,Allston,1,2,1,0
12/21/2015,Boston,Allston,1,2,1,0
12/14/2015,Boston,Allston,1,2,1,0
12/7/2015,Boston,Allston,1,2,1,0
11/30/2015,Boston,Allston,1,2,1,0
11/23/2015,Boston,Allston,1,2,1,0
11/16/2015,Boston,Allston,1,2,1,0
11/9/2015,Boston,Allston,1,2,1,0
11/2/2015,Boston,Allston,1,2,1,0
10/26/2015,Boston,Allston,1,2,1,0
10/19/2015,Boston,Allston,1,2,1,0
10/12/2015,Boston,Allston,1,2,1,0
10/5/2015,Boston,Allston,1,2,1,0
9/28/2015,Boston,Allston,1,2,1,0
9/21/2015,Boston,Allston,1,2,1,0
9/14/2015,Boston,Allston,1,2,1,92
9/7/2015,Boston,Allston,1,2,1,111
8/31/2015,Boston,Allston,1,2,1,273
8/24/2015,Boston,Allston,1,2,1,460
8/17/2015,Boston,Allston,1,2,1,516
8/10/2015,Boston,Allston,1,2,1,554
8/3/2015,Boston,Allston,1,2,1,556
7/27/2015,Boston,Allston,1,2,1,548
7/20/2015,Boston,Allston,1,2,1,464
7/13/2015,Boston,Allston,1,2,1,440
7/6/2015,Boston,Allston,1,2,1,461
6/29/2015,Boston,Allston,1,2,1,823
6/22/2015,Boston,Allston,1,2,1,460
6/15/2015,Boston,Allston,1,2,1,382
6/8/2015,Boston,Allston,1,2,1,368
6/1/2015,Boston,Allston,1,2,1,333
5/23/2016,Boston,Allston,1,2,2,264
5/16/2016,Boston,Allston,1,2,2,249
5/9/2016,Boston,Allston,1,2,2,246
5/2/2016,Boston,Allston,1,2,2,215
4/25/2016,Boston,Allston,1,2,2,214
4/18/2016,Boston,Allston,1,2,2,207
4/11/2016,Boston,Allston,1,2,2,200
4/4/2016,Boston,Allston,1,2,2,204
3/28/2016,Boston,Allston,1,2,2,198
3/21/2016,Boston,Allston,1,2,2,197
3/14/2016,Boston,Allston,1,2,2,190
3/7/2016,Boston,Allston,1,2,2,194
2/29/2016,Boston,Allston,1,2,2,185
2/22/2016,Boston,Allston,1,2,2,173
2/15/2016,Boston,Allston,1,2,2,162
2/8/2016,Boston,Allston,1,2,2,165
2/1/2016,Boston,Allston,1,2,2,164
1/25/2016,Boston,Allston,1,2,2,165
1/18/2016,Boston,Allston,1,2,2,159
1/11/2016,Boston,Allston,1,2,2,163
1/4/2016,Boston,Allston,1,2,2,156
12/28/2015,Boston,Allston,1,2,2,156
12/21/2015,Boston,Allston,1,2,2,160
12/14/2015,Boston,Allston,1,2,2,164
12/7/2015,Boston,Allston,1,2,2,162
11/30/2015,Boston,Allston,1,2,2,166
11/23/2015,Boston,Allston,1,2,2,162
11/16/2015,Boston,Allston,1,2,2,160
11/9/2015,Boston,Allston,1,2,2,161
11/2/2015,Boston,Allston,1,2,2,164
10/26/2015,Boston,Allston,1,2,2,165
